ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
0,1,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,0
1,1,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,1
2,1,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,0
3,1,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,1
4,1,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,0
5,1,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,1
6,1,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,1
7,1,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,1
8,1,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,0
9,0,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,1
10,1,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,1
11,1,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,1
12,1,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,1
13,1,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,0
14,0,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,0
15,1,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,1
16,1,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,0
17,0,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,0
18,1,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,0
19,1,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,1
20,1,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,1
21,1,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,1
22,0,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,1
23,0,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,1
24,1,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,0
25,1,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,0
26,1,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,0
27,0,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,1
28,1,64,54,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,1
29,1,57,46,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,0
30,1,78,66,484.5716429,2381,106,21,10573.01978,6978.070441,31,26,1
31,1,46,37,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,1
32,1,38,34,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,1
33,1,291,233,568.7227649,275,39,9,2578.7202,1703.292389,15,15,1
34,1,126,101,346.3382111,2225,149,0,3666.356368,1446.018362,11,11,1
35,1,156,127,780.9466294,101,113,0,1944.771913,646.9535456,18,18,1
36,1,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,0
37,1,16,14,103.8941155,443,0,5,8786.114497,7181.044427,19,19,0
38,1,95,78,190.9769901,1848,35,28,2314.364451,1317.170917,20,20,1
39,1,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,1
40,1,105,91,115.0010192,655,14,11,1822.449032,1197.962657,24,24,0
41,1,20,17,183.5959214,2601,325,15,3182.697466,1768.326087,23,16,1
42,1,165,132,309.913971,2567,293,76,4673.201532,2119.32992,20,17,0
43,1,133,106,182.484696,2595,185,52,4422.867487,2012.308708,8,2,0
44,1,26,22,132.0307891,921,272,7,632.1399703,420.7125087,30,24,0
45,1,25,25,63.26935458,1219,7,0,1187.584153,419.5127746,27,25,1
46,0,114,105,309.5828548,189,11,7,4285.245618,2322.605058,9,4,1
47,0,23,20,24.75851394,552,65,14,1564.220191,821.8420876,3,3,1
48,0,48,42,223.2527291,757,335,28,9947.593149,3369.145354,8,2,1
49,1,62,51,113.8218829,694,274,42,3826.387247,2916.712292,26,21,0
50,1,7,7,36.67792977,2794,274,18,1130.116953,723.0277468,8,8,1
51,1,67,57,76.46614419,1713,0,52,1620.545554,793.9297612,25,19,0
52,1,4,4,62.62085256,3291,65,0,4996.233445,1345.047896,28,23,1
53,1,84,68,123.517569,3286,74,145,1558.791847,1201.028705,17,15,1
54,1,12,10,21.82921966,3365,26,0,2900.68855,1698.26517,14,7,0
55,1,20,18,110.2701495,724,70,0,4418.959399,1660.205994,7,3,1
56,0,150,127,187.7083464,2028,208,132,1396.461977,496.6208911,0,0,1
57,1,41,33,176.6673157,2257,86,9,2493.388001,1103.630334,5,4,0
58,1,44,35,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,1
59,1,23,20,24.46477623,1924,169,0,11556.27748,4966.840886,27,26,0
60,1,49,42,68.3160358,1195,132,9,2702.164267,244.0548921,31,20,1
61,1,43,35,236.7279571,1756,29,53,1461.93937,954.0503968,8,8,1
62,1,69,56,81.66585433,1356,373,0,11014.87014,9143.800241,24,23,1
63,1,253,203,298.6736471,1546,0,88,4695.169432,2146.467081,6,1,1
64,1,4,3,113.8187866,1830,233,0,9624.439528,3213.049582,6,0,0
65,1,12,12,478.4156826,1796,69,35,6931.284783,4643.478348,23,22,0
66,1,150,121,270.5629064,1347,0,0,1791.379149,253.7758791,30,26,1
67,0,36,29,50.08943164,1167,139,0,3215.221847,1594.991577,1,1,1
68,1,25,21,66.56667195,1619,147,11,3554.923388,2616.219443,19,18,1
69,1,36,30,132.3810261,2384,7,0,2485.994087,1197.510681,10,4,1
70,0,62,51,327.5779296,2285,381,0,5270.991501,2571.449828,16,16,0
71,1,248,200,248.3113428,2849,87,0,3377.481893,2032.029458,8,5,1
72,1,23,20,126.0890646,997,36,71,8054.086196,1506.312415,28,21,1
73,1,89,81,210.6642815,1189,0,68,5678.087584,1924.068701,29,22,1
74,1,142,113,324.7514369,3001,806,18,1966.355964,872.2037088,29,20,1
